DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
PEANUT BUTTER SANDWICH, WITH REGULAR PEANUT BUTTER, ON WHEAT	Peanut_butter_sandwich_with_regular_peanut_butter_on_wheat_bread	Peanut butter sandwich, with regular peanut butter, on wheat bread	0	42301020.0
MILK CHOCOLATE CANDY, WITH ALMONDS	Milk_chocolate_candy_with_almonds	Milk chocolate candy, with almonds	0	91705060.0
GRAPES, RAW, NS AS TO TYPE	Grapes_raw_NS_as_to_type	Grapes, raw, NS as to type	0	63123000.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
MIXED NUTS, WITH PEANUTS, SALTED	Mixed_nuts_with_peanuts_salted	Mixed nuts, with peanuts, salted	0	42110100.0
TORTILLA CHIPS, REDUCED FAT, PLAIN	Tortilla_chips_reduced_fat_plain	Tortilla chips, reduced fat, plain	0	54401121.0
HUMMUS, FLAVORED	Hummus_flavored	Hummus, flavored	0	41205075.0
CHICKEN DRUMSTICK, FRIED, COATED, SKIN _ COATING EATEN, FROM	Chicken_drumstick_fried_coated_skin_coating_eaten_from_pre_cooked	Chicken drumstick, fried, coated, skin _ coating eaten, from pre-cooked	0	24147310.0
CABBAGE SALAD OR COLESLAW, FROM FAST FOOD _ RESTAURANT	Cabbage_salad_or_coleslaw_from_fast_food_restaurant	Cabbage salad or coleslaw, from fast food _ restaurant	0	75140990.0
BLUEBERRIES, RAW	Blueberries_raw	Blueberries, raw	0	63203010.0
CELERY, RAW	Celery_raw	Celery, raw	0	75109000.0
CARROTS, RAW	Carrots_raw	Carrots, raw	0	73101010.0
TOMATOES, RAW	Tomatoes_raw	Tomatoes, raw	0	74101000.0
EGG, WHOLE, BOILED OR POACHED	Egg_whole_boiled_or_poached	Egg, whole, boiled or poached	0	31103010.0
CROISSANT	Croissant	Croissant	0	51166000.0
JAM, PRESERVE, MARMALADE, SUGAR FREE, ALL FLAVORS	Jam_preserve_marmalade_sugar_free_all_flavors	Jam, preserve, marmalade, sugar free, all flavors	0	91406000.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
FRENCH OR CATALINA DRESSING	French_or_Catalina_dressing	French or Catalina dressing	0	83104000.0
MIXED SALAD GREENS, RAW	Mixed_salad_greens_raw	Mixed salad greens, raw	0	75114000.0
COOKIE, BUTTER OR SUGAR	Cookie_butter_or_sugar	Cookie, butter or sugar	0	53241500.0
SUGAR, WHITE, GRANULATED OR LUMP	Sugar_white_granulated_or_lump	Sugar, white, granulated or lump	0	91101010.0
TURKEY OR CHICKEN SAUSAGE	Turkey_or_chicken_sausage	Turkey or chicken sausage	0	25221830.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
BUTTER, STICK, SALTED	Butter_stick_salted	Butter, stick, salted	0	81101000.0
ORANGE JUICE, 100_, WITH CALCIUM ADDED, CANNED, BOTTLED OR I	Orange_juice_100_with_calcium_added_canned_bottled_or_in_a_carton	Orange juice, 100_, with calcium added, canned, bottled or in a carton	0	61210250.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
CRACKERS, SALTINE	Crackers_saltine	Crackers, saltine	0	54325000.0
CHEESE, CHEDDAR	Cheese_Cheddar	Cheese, Cheddar	0	14104100.0
TOMATO BEEF SOUP, PREPARED WITH WATER	Tomato_beef_soup_prepared_with_water	Tomato beef soup, prepared with water	0	74603010.0
VEGETABLE SOUP, HOME RECIPE	Vegetable_soup_home_recipe	Vegetable soup, home recipe	0	75649110.0
CORNBREAD, MADE FROM HOME RECIPE	Cornbread_made_from_home_recipe	Cornbread, made from home recipe	0	52202060.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
POTATO SOUP, NS AS TO MADE WITH MILK OR WATER	Potato_soup_NS_as_to_made_with_milk_or_water	Potato soup, NS as to made with milk or water	0	71801000.0
CRACKERS, SALTINE	Crackers_saltine	Crackers, saltine	0	54325000.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, MADE FROM REFRIGE	Biscuit_baking_powder_or_buttermilk_type_made_from_refrigerated_dough	Biscuit, baking powder or buttermilk type, made from refrigerated dough	0	52102040.0
PORK BACON, NS AS TO FRESH, SMOKED OR CURED, COOKED	Pork_bacon_NS_as_to_fresh_smoked_or_cured_cooked	Pork bacon, NS as to fresh, smoked or cured, cooked	0	22600200.0
EGG, WHOLE, FRIED WITH OIL	Egg_whole_fried_with_oil	Egg, whole, fried with oil	0	31105030.0
MILK, REDUCED FAT (2_)	Milk_reduced_fat_2_	Milk, reduced fat (2_)	0	11112110.0
COFFEE, BREWED, DECAFFEINATED	Coffee_brewed_decaffeinated	Coffee, brewed, decaffeinated	0	92111010.0
SUGAR, WHITE, GRANULATED OR LUMP	Sugar_white_granulated_or_lump	Sugar, white, granulated or lump	0	91101010.0
COFFEE CREAMER, LIQUID	Coffee_creamer_liquid	Coffee creamer, liquid	0	12210200.0
CORNBREAD, MADE FROM HOME RECIPE	Cornbread_made_from_home_recipe	Cornbread, made from home recipe	0	52202060.0
BEEF WITH GRAVY	Beef_with_gravy	Beef with gravy	0	27112000.0
STEWED POTATOES	Stewed_potatoes	Stewed potatoes	0	71703990.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
CREAM, HALF AND HALF	Cream_half_and_half	Cream, half and half	0	12120100.0
TEA, ICED, BOTTLED, BLACK	Tea_iced_bottled_black	Tea, iced, bottled, black	0	92309000.0
PORK SAUSAGE	Pork_sausage	Pork sausage	0	25221405.0
BREAD, RAISIN, TOASTED	Bread_raisin_toasted	Bread, raisin, toasted	0	51129020.0
PEANUT BUTTER	Peanut_butter	Peanut butter	0	42202000.0
VODKA	Vodka	Vodka	0	93505000.0
MARGARINE-LIKE SPREAD, TUB, SALTED	Margarine_like_spread_tub_salted	Margarine-like spread, tub, salted	0	81103080.0
CRACKERS, BUTTER (RITZ)	Crackers_butter_Ritz_	Crackers, butter (Ritz)	0	54301030.0
EGG OMELET OR SCRAMBLED EGG, FROM FAST FOOD _ RESTAURANT	Egg_omelet_or_scrambled_egg_from_fast_food_restaurant	Egg omelet or scrambled egg, from fast food _ restaurant	0	32130080.0
PORK SAUSAGE	Pork_sausage	Pork sausage	0	25221405.0
MUFFIN, FRUIT	Muffin_fruit	Muffin, fruit	0	52302010.0
MARGARINE, TUB, SALTED	Margarine_tub_salted	Margarine, tub, salted	0	81102020.0
FRUIT JUICE DRINK, WITH HIGH VITAMIN C	Fruit_juice_drink_with_high_vitamin_C	Fruit juice drink, with high vitamin C	0	92530610.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
CHEESEBURGER, 1 SMALL PATTY, WITH CONDIMENTS, ON BUN, FROM F	Cheeseburger_1_small_patty_with_condiments_on_bun_from_fast_food_restaurant_McDonald_s_Cheeseburger_	Cheeseburger, 1 small patty, with condiments, on bun, from fast food _ restaurant (McDonald_s Cheeseburger)	0	27510172.0
POTATO, FRENCH FRIES, FAST FOOD	Potato_french_fries_fast_food	Potato, french fries, fast food	0	71401030.0
BEER, LIGHT	Beer_light	Beer, light	0	93102000.0
SOFT DRINK, FRUIT FLAVORED, DIET, CAFFEINE FREE	Soft_drink_fruit_flavored_diet_caffeine_free	Soft drink, fruit flavored, diet, caffeine free	0	92410520.0
PIZZA WITH MEAT AND VEGETABLES, FROM RESTAURANT OR FAST FOOD	Pizza_with_meat_and_vegetables_from_restaurant_or_fast_food_medium_crust	Pizza with meat and vegetables, from restaurant or fast food, medium crust	0	58106725.0
VODKA	Vodka	Vodka	0	93505000.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH SUGAR	Tea_iced_brewed_black_pre_sweetened_with_sugar	Tea, iced, brewed, black, pre-sweetened with sugar	0	92308000.0
BEEF STEAK, BROILED OR BAKED, LEAN ONLY EATEN	Beef_steak_broiled_or_baked_lean_only_eaten	Beef steak, broiled or baked, lean only eaten	0	21101130.0
POTATO, BAKED, PEEL EATEN	Potato_baked_peel_eaten	Potato, baked, peel eaten	0	71508001.0
PEAS, GREEN, COOKED, FROM CANNED, FAT NOT ADDED IN COOKING	Peas_green_cooked_from_canned_fat_not_added_in_cooking	Peas, green, cooked, from canned, fat not added in cooking	0	75224023.0
WINE, TABLE, RED	Wine_table_red	Wine, table, red	0	93401010.0
STRAWBERRIES, RAW	Strawberries_raw	Strawberries, raw	0	63223020.0
WHIPPED TOPPING	Whipped_topping	Whipped topping	0	12220200.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH LOW CALORIE SWE	Tea_iced_brewed_black_pre_sweetened_with_low_calorie_sweetener	Tea, iced, brewed, black, pre-sweetened with low calorie sweetener	0	92308010.0
VODKA	Vodka	Vodka	0	93505000.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH LOW CALORIE SWE	Tea_iced_brewed_black_pre_sweetened_with_low_calorie_sweetener	Tea, iced, brewed, black, pre-sweetened with low calorie sweetener	0	92308010.0
VODKA	Vodka	Vodka	0	93505000.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH LOW CALORIE SWE	Tea_iced_brewed_black_pre_sweetened_with_low_calorie_sweetener	Tea, iced, brewed, black, pre-sweetened with low calorie sweetener	0	92308010.0
HAMBURGER, 1 SMALL PATTY, WITH CONDIMENTS, ON BUN, FROM FAST	Hamburger_1_small_patty_with_condiments_on_bun_from_fast_food_restaurant	Hamburger, 1 small patty, with condiments, on bun, from fast food _ restaurant	0	27510536.0
PORK CHOP, BREADED OR FLOURED, FRIED, LEAN AND FAT EATEN	Pork_chop_breaded_or_floured_fried_lean_and_fat_eaten	Pork chop, breaded or floured, fried, lean and fat eaten	0	22101310.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
ORANGE BLOSSOM	Orange_Blossom	Orange Blossom	0	93301132.0
BEER, LOW CARB	Beer_low_carb	Beer, low carb	0	93102100.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
STEAK SAUCE, TOMATO-BASE	Steak_sauce_tomato_base	Steak sauce, tomato-base	0	74406100.0
VEGETABLE COMBINATION, INCLUDING CARROTS, BROCCOLI, AND_OR D	Vegetable_combination_including_carrots_broccoli_and_or_dark_green_leafy_cooked_no_sauce_fat_not_added_in_cooking	Vegetable combination, including carrots, broccoli, and_or dark-green leafy; cooked, no sauce, fat not added in cooking	0	75330110.0
BREAD, WHITE, MADE FROM HOME RECIPE OR PURCHASED AT A BAKERY	Bread_white_made_from_home_recipe_or_purchased_at_a_bakery	Bread, white, made from home recipe or purchased at a bakery	0	51101050.0
FISH SANDWICH, ON BUN, WITH SPREAD	Fish_sandwich_on_bun_with_spread	Fish sandwich, on bun, with spread	0	27550000.0
SALSA, RED, COMMERCIALLY-PREPARED	Salsa_red_commercially_prepared	Salsa, red, commercially-prepared	0	74402150.0
TEA, ICED, BREWED, BLACK, DECAFFEINATED, PRE-SWEETENED WITH	Tea_iced_brewed_black_decaffeinated_pre_sweetened_with_sugar	Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar	0	92308030.0
POTATO CHIPS, BARBECUE FLAVORED	Potato_chips_barbecue_flavored	Potato chips, barbecue flavored	0	71200110.0
BEER	Beer	Beer	0	93101000.0
ORANGE BLOSSOM	Orange_Blossom	Orange Blossom	0	93301132.0
CHICKEN DRUMSTICK, FRIED, COATED, SKIN _ COATING EATEN, FROM	Chicken_drumstick_fried_coated_skin_coating_eaten_from_fast_food_restaurant	Chicken drumstick, fried, coated, skin _ coating eaten, from fast food _ restaurant	0	24147320.0
TEA, ICED, BREWED, BLACK, DECAFFEINATED, PRE-SWEETENED WITH	Tea_iced_brewed_black_decaffeinated_pre_sweetened_with_sugar	Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar	0	92308030.0
PORK CHOP, BROILED OR BAKED, LEAN AND FAT EATEN	Pork_chop_broiled_or_baked_lean_and_fat_eaten	Pork chop, broiled or baked, lean and fat eaten	0	22101110.0
MIXED VEGETABLES, COOKED, NS AS TO FORM, FAT NOT ADDED IN CO	Mixed_vegetables_cooked_NS_as_to_form_fat_not_added_in_cooking	Mixed vegetables, cooked, NS as to form, fat not added in cooking	0	75311010.0
CHICKEN, NS AS TO PART AND COOKING METHOD, NS AS TO SKIN EAT	Chicken_NS_as_to_part_and_cooking_method_NS_as_to_skin_eaten	Chicken, NS as to part and cooking method, NS as to skin eaten	0	24100000.0
BEER	Beer	Beer	0	93101000.0
ORANGE BLOSSOM	Orange_Blossom	Orange Blossom	0	93301132.0
POTATO, NFS	Potato_NFS	Potato, NFS	0	71000100.0
MUSTARD	Mustard	Mustard	0	75506010.0
TOMATO CATSUP	Tomato_catsup	Tomato catsup	0	74401010.0
CHEESE, NFS	Cheese_NFS	Cheese, NFS	0	14010000.0
BEER	Beer	Beer	0	93101000.0
SOFT DRINK, ROOT BEER	Soft_drink_root_beer	Soft drink, root beer	0	92410710.0
POTATO, FRENCH FRIES, FROM FROZEN, FRIED	Potato_french_fries_from_frozen_fried	Potato, french fries, from frozen, fried	0	71401032.0
BACON, NS AS TO TYPE OF MEAT, COOKED	Bacon_NS_as_to_type_of_meat_cooked	Bacon, NS as to type of meat, cooked	0	22600100.0
EGG, WHOLE, FRIED, FROM FAST FOOD _ RESTAURANT	Egg_whole_fried_from_fast_food_restaurant	Egg, whole, fried, from fast food _ restaurant	0	31105090.0
ROLL, WHITE, HAMBURGER BUN	Roll_white_hamburger_bun	Roll, white, hamburger bun	0	51154100.0
GRITS, INSTANT, MADE WITH WATER, FAT ADDED IN COOKING	Grits_instant_made_with_water_fat_added_in_cooking	Grits, instant, made with water, fat added in cooking	0	56201220.0
EGG, WHOLE, FRIED WITH MARGARINE	Egg_whole_fried_with_margarine	Egg, whole, fried with margarine	0	31105020.0
PORK STEAK OR CUTLET, BREADED OR FLOURED, FRIED, LEAN ONLY E	Pork_steak_or_cutlet_breaded_or_floured_fried_lean_only_eaten	Pork steak or cutlet, breaded or floured, fried, lean only eaten	0	22201420.0
STEAK SAUCE, TOMATO-BASE	Steak_sauce_tomato_base	Steak sauce, tomato-base	0	74406100.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH SUGAR	Tea_iced_brewed_black_pre_sweetened_with_sugar	Tea, iced, brewed, black, pre-sweetened with sugar	0	92308000.0
CABBAGE, GREEN, COOKED, FAT NOT ADDED IN COOKING	Cabbage_green_cooked_fat_not_added_in_cooking	Cabbage, green, cooked, fat not added in cooking	0	75211020.0
BACON, NS AS TO TYPE OF MEAT, COOKED	Bacon_NS_as_to_type_of_meat_cooked	Bacon, NS as to type of meat, cooked	0	22600100.0
POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, MADE WITH MARGAR	Potato_boiled_from_fresh_peel_not_eaten_made_with_margarine	Potato, boiled, from fresh, peel not eaten, made with margarine	0	71103050.0
CORNBREAD, PREPARED FROM MIX	Cornbread_prepared_from_mix	Cornbread, prepared from mix	0	52201000.0
HARD CANDY	Hard_candy	Hard candy	0	91745020.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH SUGAR	Tea_iced_brewed_black_pre_sweetened_with_sugar	Tea, iced, brewed, black, pre-sweetened with sugar	0	92308000.0
COOKIE, FIG BAR	Cookie_fig_bar	Cookie, fig bar	0	53220030.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH SUGAR	Tea_iced_brewed_black_pre_sweetened_with_sugar	Tea, iced, brewed, black, pre-sweetened with sugar	0	92308000.0
BEER	Beer	Beer	0	93101000.0
TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH SUGAR	Tea_iced_brewed_black_pre_sweetened_with_sugar	Tea, iced, brewed, black, pre-sweetened with sugar	0	92308000.0
MEAT LOAF MADE WITH BEEF, WITH TOMATO-BASED SAUCE	Meat_loaf_made_with_beef_with_tomato_based_sauce	Meat loaf made with beef, with tomato-based sauce	0	27214110.0
TOMATO CATSUP	Tomato_catsup	Tomato catsup	0	74401010.0
DOUGHNUT, CAKE TYPE	Doughnut_cake_type	Doughnut, cake type	0	53520110.0
BEER	Beer	Beer	0	93101000.0
BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, MADE FROM REFRIGE	Biscuit_baking_powder_or_buttermilk_type_made_from_refrigerated_dough	Biscuit, baking powder or buttermilk type, made from refrigerated dough	0	52102040.0
SOFT DRINK, COLA	Soft_drink_cola	Soft drink, cola	0	92410310.0
BEER	Beer	Beer	0	93101000.0
FRANKFURTER OR HOT DOG SANDWICH, WITH CHILI, ON WHITE BUN	Frankfurter_or_hot_dog_sandwich_with_chili_on_white_bun	Frankfurter or hot dog sandwich, with chili, on white bun	0	27564440.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
SUGAR, WHITE, GRANULATED OR LUMP	Sugar_white_granulated_or_lump	Sugar, white, granulated or lump	0	91101010.0
COFFEE CREAMER, POWDER	Coffee_creamer_powder	Coffee creamer, powder	0	12210400.0
DOUGHNUT, JELLY	Doughnut_jelly	Doughnut, jelly	0	53521140.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
COFFEE CREAMER, POWDER	Coffee_creamer_powder	Coffee creamer, powder	0	12210400.0
SUGAR, WHITE, GRANULATED OR LUMP	Sugar_white_granulated_or_lump	Sugar, white, granulated or lump	0	91101010.0
POTATO SALAD WITH EGG, MADE WITH MAYONNAISE-TYPE SALAD DRESS	Potato_salad_with_egg_made_with_mayonnaise_type_salad_dressing	Potato salad with egg, made with mayonnaise-type salad dressing	0	71601020.0
POMEGRANATE JUICE BEVERAGE, 40-50_ JUICE, LIGHT	Pomegranate_juice_beverage_40_50_juice_light	Pomegranate juice beverage, 40-50_ juice, light	0	92550380.0
BEER	Beer	Beer	0	93101000.0
BEEF SHORT RIBS, BONELESS, WITH BARBECUE SAUCE, POTATOES, VE	Beef_short_ribs_boneless_with_barbecue_sauce_potatoes_vegetable_frozen_meal	Beef short ribs, boneless, with barbecue sauce, potatoes, vegetable, frozen meal	0	28110620.0
