FoodCode	Main.food.description	ModCode	Old.Main.food.description	FoodID
58106560	Pizza_with_pepperoni_from_restaurant_or_fast_food_thick_crust	0	Pizza with pepperoni, from restaurant or fast food, thick crust	58106560.0
58106730	Pizza_with_meat_and_vegetables_thick_crust	0	Pizza with meat and vegetables, thick crust	58106730.0
58128000	Biscuit_with_gravy	0	Biscuit with gravy	58128000.0
58145110	Macaroni_or_noodles_with_cheese	0	Macaroni or noodles with cheese	58145110.0
58145117	Macaroni_or_noodles_with_cheese_Easy_Mac_type	0	Macaroni or noodles with cheese, Easy Mac type	58145117.0
58150330	Rice_fried_with_pork	0	Rice, fried, with pork	58150330.0
58160110	Rice_with_beans	0	Rice with beans	58160110.0
58160530	Rice_white_with_tomatoes_andor_tomato_based_sauce_fat_not_added_in_cooking	0	Rice, white, with tomatoes (andor tomato based sauce), fat not added in cooking	58160530.0
58160710	Rice_white_with_other_vegetables_fat_not_added_in_cooking	0	Rice, white, with other vegetables, fat not added in cooking	58160710.0
58162120	Stuffed_pepper_with_rice_meatless	0	Stuffed pepper, with rice, meatless	58162120.0
61119010	Orange_raw	0	Orange, raw	61119010.0
61210220	Orange_juice_canned_bottled_or_in_a_carton	0	Orange juice, canned, bottled or in a carton	61210220.0
62101100	Apple_dried_uncooked	0	Apple, dried, uncooked	62101100.0
62125100	Raisins	0	Raisins	62125100.0
63101000	Apple_raw	0	Apple, raw	63101000.0
63105010	Avocado_raw	0	Avocado, raw	63105010.0
63107010	Banana_raw	0	Banana, raw	63107010.0
63123000	Grapes_raw_NS_as_to_type	0	Grapes, raw, NS as to type	63123000.0
63143650	Plum_pickled	0	Plum, pickled	63143650.0
63200200	Berries_frozen_NFS	0	Berries, frozen, NFS	63200200.0
63201010	Blackberries_raw	0	Blackberries, raw	63201010.0
63203010	Blueberries_raw	0	Blueberries, raw	63203010.0
63223020	Strawberries_raw	0	Strawberries, raw	63223020.0
63223620	Strawberries_frozen_with_sugar	0	Strawberries, frozen, with sugar	63223620.0
63311000	Fruit_salad_fresh_or_raw_excluding_citrus_fruits_no_dressing	0	Fruit salad, fresh or raw, (excluding citrus fruits), no dressing	63311000.0
63311050	Fruit_salad_fresh_or_raw_including_citrus_fruits_no_dressing	0	Fruit salad, fresh or raw, (including citrus fruits), no dressing	63311050.0
63401010	Apple_salad_with_dressing	0	Apple salad with dressing	63401010.0
63409010	Guacamole	0	Guacamole	63409010.0
64104010	Apple_juice	0	Apple juice	64104010.0
64401000	Vinegar	0	Vinegar	64401000.0
71201050	White_potato_chips_reduced_fat	0	White potato, chips, reduced fat	71201050.0
71220000	Vegetable_chips	0	Vegetable chips	71220000.0
71401000	White_potato_french_fries_NS_as_to_from_fresh_or_frozen	0	White potato, french fries, NS as to from fresh or frozen	71401000.0
71401030	White_potato_french_fries_from_frozen_deep_fried_from_fast_food_restaurant	0	White potato, french fries, from frozen, deep fried, from fast food  restaurant	71401030.0
71508020	White_potato_stuffed_baked_peel_eaten_stuffed_with_cheese	0	White potato, stuffed, baked, peel eaten, stuffed with cheese	71508020.0
71508030	White_potato_stuffed_baked_peel_eaten_stuffed_with_chili	0	White potato, stuffed, baked, peel eaten, stuffed with chili	71508030.0
71801000	Potato_soup_NS_as_to_made_with_milk_or_water	0	Potato soup, NS as to made with milk or water	71801000.0
72116000	Endive_chicory_escarole_or_romaine_lettuce_raw	0	Endive, chicory, escarole, or romaine lettuce, raw	72116000.0
72125100	Spinach_raw	0	Spinach, raw	72125100.0
72125211	Spinach_cooked_from_fresh_fat_not_added_in_cooking	0	Spinach, cooked, from fresh, fat not added in cooking	72125211.0
72201230	Broccoli_cooked_NS_as_to_form_with_cheese_sauce	0	Broccoli, cooked, NS as to form, with cheese sauce	72201230.0
72202020	Broccoli_casserole_broccoli_rice_cheese_and_mushroom_sauce_	0	Broccoli casserole (broccoli, rice, cheese, and mushroom sauce)	72202020.0
73101010	Carrots_raw	0	Carrots, raw	73101010.0
73102211	Carrots_cooked_from_fresh_fat_not_added_in_cooking	0	Carrots, cooked, from fresh, fat not added in cooking	73102211.0
73402010	Sweet_potato_baked_peel_eaten_fat_not_added_in_cooking	0	Sweet potato, baked, peel eaten, fat not added in cooking	73402010.0
74101000	Tomatoes_raw	0	Tomatoes, raw	74101000.0
74201001	Tomatoes_cooked_from_fresh_NS_as_to_method	0	Tomatoes, cooked, from fresh, NS as to method	74201001.0
74202051	Tomatoes_red_from_fresh_fried	0	Tomatoes, red, from fresh, fried	74202051.0
74401010	Tomato_catsup	0	Tomato catsup	74401010.0
74402150	Salsa_red_commercially_prepared	0	Salsa, red, commercially-prepared	74402150.0
74402350	Salsa_verde_or_salsa_green	0	Salsa verde or salsa, green	74402350.0
74406100	Steak_sauce_tomato_base	0	Steak sauce, tomato-base	74406100.0
75100250	Raw_vegetable_NFS	0	Raw vegetable, NFS	75100250.0
75103000	Cabbage_green_raw	0	Cabbage, green, raw	75103000.0
75105000	Cabbage_red_raw	0	Cabbage, red, raw	75105000.0
75107000	Cauliflower_raw	0	Cauliflower, raw	75107000.0
75109550	Cilantro_raw	0	Cilantro, raw	75109550.0
75111000	Cucumber_raw	0	Cucumber, raw	75111000.0
75113000	Lettuce_raw	0	Lettuce, raw	75113000.0
75113060	Lettuce_Boston_raw	0	Lettuce, Boston, raw	75113060.0
75113080	Lettuce_arugula_raw	0	Lettuce, arugula, raw	75113080.0
75114000	Mixed_salad_greens_raw	0	Mixed salad greens, raw	75114000.0
75122100	Pepper_sweet_green_raw	0	Pepper, sweet, green, raw	75122100.0
75122200	Pepper_sweet_red_raw	0	Pepper, sweet, red, raw	75122200.0
75124000	Pepper_banana_raw	0	Pepper, banana, raw	75124000.0
75127500	Seaweed_raw	0	Seaweed, raw	75127500.0
75128000	Squash_summer_yellow_raw	0	Squash, summer, yellow, raw	75128000.0
75132000	Mixed_vegetable_juice_vegetables_other_than_tomato_	0	Mixed vegetable juice (vegetables other than tomato)	75132000.0
75140500	Broccoli_salad_with_cauliflower_cheese_bacon_bits_and_dressing	0	Broccoli salad with cauliflower, cheese, bacon bits, and dressing	75140500.0
75140990	Cabbage_salad_or_coleslaw_from_fast_food_restaurant	0	Cabbage salad or coleslaw, from fast food  restaurant	75140990.0
75141000	Cabbage_salad_or_coleslaw_made_with_coleslaw_dressing	0	Cabbage salad or coleslaw, made with coleslaw dressing	75141000.0
75200110	Vegetables_NS_as_to_type_cooked_fat_not_added_in_cooking	0	Vegetables, NS as to type, cooked, fat not added in cooking	75200110.0
75207011	Bean_sprouts_cooked_from_fresh_fat_not_added_in_cooking	0	Bean sprouts, cooked, from fresh, fat not added in cooking	75207011.0
75210010	Cabbage_Chinese_cooked_fat_not_added_in_cooking	0	Cabbage, Chinese, cooked, fat not added in cooking	75210010.0
75211010	Cabbage_green_cooked_NS_as_to_fat_added_in_cooking	0	Cabbage, green, cooked, NS as to fat added in cooking	75211010.0
75211020	Cabbage_green_cooked_fat_not_added_in_cooking	0	Cabbage, green, cooked, fat not added in cooking	75211020.0
75215010	Celery_cooked_fat_not_added_in_cooking	0	Celery, cooked, fat not added in cooking	75215010.0
75216000	Corn_cooked_NS_as_to_form_NS_as_to_color_NS_as_to_fat_added_in_cooking	0	Corn, cooked, NS as to form, NS as to color, NS as to fat added in cooking	75216000.0
75217400	Garlic_cooked	0	Garlic, cooked	75217400.0
75221000	Onions_mature_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	0	Onions, mature, cooked, NS as to form, NS as to fat added in cooking	75221000.0
75224022	Peas_green_cooked_from_frozen_fat_not_added_in_cooking	0	Peas, green, cooked, from frozen, fat not added in cooking	75224022.0
75226000	Peppers_green_cooked_NS_as_to_fat_added_in_cooking	0	Peppers, green, cooked, NS as to fat added in cooking	75226000.0
75226040	Peppers_red_cooked_NS_as_to_fat_added_in_cooking	0	Peppers, red, cooked, NS as to fat added in cooking	75226040.0
75226090	Peppers_hot_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	0	Peppers, hot, cooked, NS as to form, NS as to fat added in cooking	75226090.0
75227100	Radish_Japanese_daikon_cooked_fat_not_added_in_cooking	0	Radish, Japanese (daikon), cooked, fat not added in cooking	75227100.0
75230000	Sauerkraut_cooked_NS_as_to_fat_added_in_cooking	0	Sauerkraut, cooked, NS as to fat added in cooking	75230000.0
75232000	Seaweed_dried	0	Seaweed, dried	75232000.0
75232100	Seaweed_cooked_NS_as_to_fat_added_in_cooking	0	Seaweed, cooked, NS as to fat added in cooking	75232100.0
75233000	Squash_summer_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	0	Squash, summer, cooked, NS as to form, NS as to fat added in cooking	75233000.0
75233220	Squash_spaghetti_cooked_fat_not_added_in_cooking	0	Squash, spaghetti, cooked, fat not added in cooking	75233220.0
75302080	Bean_salad_yellow_andor_green_string_beans	0	Bean salad, yellow andor green string beans	75302080.0
75317020	Vegetables_stew_type_including_potatoes_carrots_onions_celery_cooked_fat_not_added_in_cooking	0	Vegetables, stew type (including potatoes, carrots, onions, celery) cooked, fat not added in cooking	75317020.0
75403023	Beans_string_green_cooked_from_canned_with_mushroom_sauce	0	Beans, string, green, cooked, from canned, with mushroom sauce	75403023.0
75409012	Cauliflower_from_frozen_creamed	0	Cauliflower, from frozen, creamed	75409012.0
75440100	Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_with_soy_based_sauce	0	Vegetable combination (including carrots, broccoli, andor dark-green leafy), cooked, with soy-based sauce	75440100.0
75440110	Vegetable_combination_excluding_carrots_broccoli_and_dark_green_leafy_cooked_with_soy_based_sauce	0	Vegetable combination (excluding carrots, broccoli, and dark-green leafy), cooked, with soy-based sauce	75440110.0
75440200	Vegetable_tempura	0	Vegetable tempura	75440200.0
75440600	Vegetable_curry	0	Vegetable curry	75440600.0
75503020	Cucumber_pickles_relish	0	Cucumber pickles, relish	75503020.0
75503040	Cucumber_pickles_sweet	0	Cucumber pickles, sweet	75503040.0
75506010	Mustard	0	Mustard	75506010.0
75511100	Pickles_NS_as_to_vegetable	0	Pickles, NS as to vegetable	75511100.0
75607000	Mushroom_soup_NFS	0	Mushroom soup, NFS	75607000.0
75647000	Seaweed_soup	0	Seaweed soup	75647000.0
75649110	Vegetable_soup_home_recipe	0	Vegetable soup, home recipe	75649110.0
81101000	Butter_stick_salted	0	Butter, stick, salted	81101000.0
81101500	Light_butter_stick_salted	0	Light butter, stick, salted	81101500.0
81102000	Margarine_NFS	0	Margarine, NFS	81102000.0
83105500	Honey_mustard_dressing	0	Honey mustard dressing	83105500.0
83106000	Italian_dressing_made_with_vinegar_and_oil	0	Italian dressing, made with vinegar and oil	83106000.0
83107000	Mayonnaise_regular	0	Mayonnaise, regular	83107000.0
83112500	Creamy_dressing	0	Creamy dressing	83112500.0
83112990	Sesame_dressing	0	Sesame dressing	83112990.0
83114000	Thousand_Island_dressing	0	Thousand Island dressing	83114000.0
83115000	Yogurt_dressing	0	Yogurt dressing	83115000.0
83202020	French_or_Catalina_dressing_light	0	French or Catalina dressing, light	83202020.0
83206500	Sesame_dressing_light	0	Sesame dressing, light	83206500.0
91101010	Sugar_white_granulated_or_lump	0	Sugar, white, granulated or lump	91101010.0
91102010	Sugar_brown	0	Sugar, brown	91102010.0
91104100	Sugar_cinnamon	0	Sugar, cinnamon	91104100.0
91302010	Honey	0	Honey	91302010.0
91402000	Jam_preserves_all_flavors	0	Jam, preserves, all flavors	91402000.0
91705300	Chocolate_sweet_or_dark	0	Chocolate, sweet or dark	91705300.0
91746100	MMs_Milk_Chocolate_Candies_formerly_MMs_Plain_Chocolate_Candies_	0	MMs Milk Chocolate Candies (formerly MMs Plain Chocolate Candies)	91746100.0
92101000	Coffee_made_from_ground_regular	0	Coffee, made from ground, regular	92101000.0
92101610	Coffee_espresso	0	Coffee, espresso	92101610.0
92101950	Coffee_mocha	0	Coffee, mocha	92101950.0
92161000	Cappuccino	0	Cappuccino	92161000.0
92306000	Tea_herbal	0	Tea, herbal	92306000.0
92306090	Tea_hibiscus	0	Tea, hibiscus	92306090.0
92400000	Soft_drink_NFS	0	Soft drink, NFS	92400000.0
92410210	Carbonated_water_unsweetened	0	Carbonated water, unsweetened	92410210.0
92410310	Soft_drink_cola_type	0	Soft drink, cola-type	92410310.0
92410320	Soft_drink_cola_type_sugar_free	0	Soft drink, cola-type, sugar-free	92410320.0
92410510	Soft_drink_fruit_flavored_caffeine_free	0	Soft drink, fruit-flavored, caffeine free	92410510.0
92530610	Fruit_juice_drink_with_high_vitamin_C	0	Fruit juice drink, with high vitamin C	92530610.0
93101000	Beer	0	Beer	93101000.0
93301170	Bourbon_and_soda	0	Bourbon and soda	93301170.0
93401010	Wine_table_red	0	Wine, table, red	93401010.0
93401100	Wine_rice	0	Wine, rice	93401100.0
94000100	Water_tap	0	Water, tap	94000100.0
94100100	Water_bottled_unsweetened	0	Water, bottled, unsweetened	94100100.0
95230000	Protein_powder_whey_based_NFS	0	Protein powder, whey based, NFS	95230000.0
95230020	Protein_powder_light_NFS	0	Protein powder, light, NFS	95230020.0
