Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
B12A	0	0	0	0.838351153629713	0.95	18.565	1.89544914465016
VC	5	30.55	60.3	76.9508159819921	107.5	392.8	61.0710391680523
VD	0	1.7	3.3	4.46148002250985	5.7	49.8	4.59698453157341
VK	5.6	47.6	77.4	118.297833427124	132.55	2354.15	140.57328907928
CALC	94	578	811.5	887.085818795723	1108	3372	435.763916876424
PHOS	343	948.5	1238.5	1304.91080472707	1587.5	3803	501.861996433555
MAGN	50	204.5	265.5	287.2692740574	350.5	1019	119.017583544501
IRON	2.53	9.225	12.46	13.6043837929094	16.65	71.325	6.49262176315368
ZINC	1.78	7.19	9.675	10.5606865503658	12.945	45.985	4.87152729235298
COPP	0.255	0.808	1.072	1.20519977490152	1.412	18.9055	0.969355196627985
SODI	587	2407	3178.5	3380.575407991	4068.5	8951.5	1344.05032122624
POTA	483	1838.5	2408.5	2510.16094541362	3052.5	7730	937.816318548837
SELE	19.1	78.2	105.2	112.834102419809	136.95	355	48.4798586706943
CAFF	0	24.5	89.5	133.853123241418	184.5	1255	155.647793864516
THEO	0	0	7.5	29.4029262802476	38.5	631	53.0009269465905
ALCO	0	0	0	6.41136747326956	0	234.35	17.9500796815128
MOIS	476.21	1860.48	2514.925	2712.80081598199	3341.475	10735.85	1177.85201668616
S040	0	0.207	0.377	0.460649690489589	0.6155	3.0825	0.365036331712037
S060	0	0.1335	0.2485	0.296039673607203	0.3995	1.8715	0.229953204641495
S080	0	0.1175	0.205	0.259620146314012	0.327	2.9055	0.237676729052481
S100	0.0055	0.2375	0.4065	0.485862689926843	0.643	3.3095	0.360243269748154
S120	0.0025	0.3125	0.5435	0.871675014068655	0.9865	17.099	1.16559499969137
S140	0.0445	1.095	1.8375	2.1118069780529	2.779	9.6445	1.41172182967359
S160	2.658	9.2505	13.001	13.9660208216095	17.5	43.474	6.39677418183621
S180	0.856	3.8485	5.624	6.07703601575689	7.673	20.45	3.00033872873703
M161	0.101	0.6805	0.996	1.10427293190771	1.383	4.334	0.602841667742975
M181	4.526	17.116	24.0405	25.8726043894204	31.821	85.593	11.9831082043192
M201	0.023	0.1675	0.2525	0.304328362408554	0.382	2.0075	0.211143931139004
M221	0	0.0045	0.013	0.0301682611142375	0.031	1.331	0.0744716910281917
P182	1.6935	10.372	14.6415	16.1795799099606	20.175	60.659	8.23325449623344
P183	0.201	1.0675	1.508	1.74599380979178	2.1915	16.064	1.06807681736825
P184	0	0	0.0015	0.0122895329206528	0.0045	0.3905	0.0304806215697689
P204	0.001	0.084	0.1365	0.15560016882386	0.203	1.0555	0.10234820987277
P205	0	0.004	0.008	0.032851153629713	0.0185	1.254	0.0871010091768494
P225	0	0.0095	0.016	0.0230861001688239	0.026	0.631	0.0302872539446171
P226	0	0.006	0.0255	0.069297692740574	0.063	1.8165	0.150683826071325
F_CITMLB	0	0	0	0.222201903489026	0.2592	5.806085	0.490538579514345
F_OTHER	0	0	0.2055	0.486020421215532	0.768764	5.72251	0.674760525070907
F_JUICE	0	0	0.004254	0.242872696679797	0.31	3.898625	0.462996733688217
F_TOTAL	0	0.116164	0.69173	0.951095021384356	1.4117295	9.4075715	1.01282615796574
V_DRKGR	0	0	0	0.154581770118177	0.1617	3.359083	0.332223617501976
V_REDOR_TOMATO	0	0.059	0.1908	0.27252594372538	0.385829	2.4592	0.294811437425096
V_REDOR_OTHER	0	0	0.010013	0.100521160382667	0.123375	2.161646	0.193457184339514
V_REDOR_TOTAL	0	0.1207695	0.286261	0.373047104108047	0.522548	2.4592	0.344896199473884
V_STARCHY_POTATO	0	0	0.19145	0.360101910523354	0.5025	4.907125	0.494287545993137
V_STARCHY_OTHER	0	0	0	0.0970405284186832	0.096072	3.1624	0.244149784354951
V_STARCHY_TOTAL	0	0.018208	0.29375	0.457142438942037	0.6321875	5.5949	0.55791928516239
V_OTHER	0	0.155	0.3631325	0.51325370146314	0.7161	4.6257	0.51896035061776
V_TOTAL	0	0.769756	1.273263	1.4980250146314	2.022347	7.157564	0.987561994348513
V_LEGUMES	0	0	0	0.141444579909961	0.18	2.553723	0.29246398302
G_WHOLE	0	0	0.44552	0.884590872537985	1.3068	10.8627	1.1965951801142
G_REFINED	0	3.1432	5.010669	5.53123589335959	7.2097625	25.004192	3.22696587506145
G_TOTAL	0	4.0256625	5.8402	6.41582676477209	8.2297	25.004192	3.3136769504511
PF_MEAT	0	0	0.9901185	1.49670742234102	2.3056845	12.160368	1.74549489455885
PF_CUREDMEAT	0	0	0.4144	0.874315774620146	1.2892	11.1315	1.24902585266171
PF_ORGAN	0	0	0	0.0273680565559932	0	4.76	0.27087048564228
PF_POULT	0	0	1.063125	1.60575445047833	2.423225	16.124359	1.90147329613531
PF_SEAFD_HI	0	0	0	0.182756184580754	0	8.823	0.804146806557482
PF_SEAFD_LOW	0	0	0	0.578930649971863	0.3498	21.3974	1.5427211994501
PF_MPS_TOTAL	0	2.656	4.2113735	4.76583253854812	6.232384	30.6141575	3.05450078893628
PF_EGGS	0	0.036	0.29904	0.584340570061902	0.9499	4.8227	0.704387292983435
PF_SOY	0	0	0	0.0609908871693866	0	4.0572	0.269316405378778
PF_NUTSDS	0	0	0.0147	0.661957619302195	0.68975	14.5298775	1.37689416055846
PF_LEGUMES	0	0	0	0.568308157287563	0.7128	10.36511	1.17543310945299
PF_TOTAL	0	3.6542225	5.40865	6.0731216150816	7.775453	30.7785275	3.5014687383976
D_MILK	0	0.09	0.36085	0.608452315419246	0.87835	7.62805	0.751971715517039
D_YOGURT	0	0	0	0.0628840571187394	0	1.757916	0.180920020495104
D_CHEESE	0	0.09225	0.44125	0.643815301913337	0.935325	4.8340425	0.718626383360313
D_TOTAL	0	0.5622875	1.110862	1.34236051688239	1.8647	8.462675	1.06764622285777
OILS	0	15.06495	23.7403445	27.0100535649972	35.935478	115.948815	16.3844721542678
SOLID_FATS	0	18.2337525	29.360737	32.3325961454699	42.8351425	129.643075	18.9707230141796
ADD_SUGARS	0.018	6.728023	12.0609605	14.9340065734384	20.4573405	79.4527	11.4103858641143
A_DRINKS	0	0	0	0.458574117332583	0	16.632	1.28301772533867
NoOfItems	4.5	11.5	15	15.4338773213281	18.5	42.5	5.17622883228038
SDDSRVYR	9	9	9	9	9	9	0
RIDSTATR	2	2	2	2	2	2	0
RIAGENDR	1	1	2	1.53404614518852	2	2	0.49897993255706
RIDAGEYR	18	35	51	49.8362408553742	65	80	18.1429096990356
RIDAGEMN	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RIDRETH1	1	2	3	3.03432751828925	4	5	1.22816653189165
RIDRETH3	1	2	3	3.20427687113112	4	7	1.54600026947253
RIDEXMON	1	1	2	1.5098480585256	2	2	0.500043724988915
RIDEXAGM	217	220	225.5	226.459459459459	232	239	6.90679472711065
DMQMILIZ	1	2	2	1.90039392234102	2	2	0.29955835007253
DMQADFC	1	1	2	1.51977401129944	2	2	0.501026168344733
DMDBORN4	1	1	1	1.29206527855937	2	2	0.454840161279638
DMDCITZN	1	1	1	1.16544738323016	1	9	0.44857034493228
DMDYRSUS	1	3	5	7.63005780346821	7	99	14.1554368382468
DMDEDUC3	9	11	13	13.9615384615385	13	66	8.63914724581455
DMDEDUC2	1	3	4	3.56091818716892	5	5	1.26529394519346
DMDMARTL	1	1	1	2.49852854620365	5	6	1.8594213547918
RIDEXPRG	1	2	2	1.96581196581197	2	3	0.248364614397828
SIALANG	1	1	1	1.12605514912774	1	2	0.332004937445805
SIAPROXY	1	2	2	1.99662352279122	2	2	0.0580256095252876
SIAINTRP	1	2	2	1.97692740574001	2	2	0.150176367102534
FIALANG	1	1	1	1.11747685185185	1	2	0.322080849447493
FIAPROXY	1	2	2	1.99884259259259	2	2	0.0340108397958093
FIAINTRP	1	2	2	1.98090277777778	2	2	0.136906410297207
MIALANG	1	1	1	1.09696261682243	1	2	0.295993315836946
MIAPROXY	1	2	2	1.99357476635514	2	2	0.0799229700375916
MIAINTRP	1	2	2	1.96728971962617	2	2	0.177929228142514
AIALANGA	1	1	1	1.16631280962491	1	3	0.42238739530503
DMDHHSIZ	1	2	3	3.18401800787845	4	7	1.68472638451071
DMDFMSIZ	1	2	3	3.02082160945414	4	7	1.74245955923482
DMDHHSZA	0	0	0	0.24198086662915	0	3	0.566495185044633
DMDHHSZB	0	0	0	0.584130557118739	1	4	0.981722746254159
DMDHHSZE	0	0	0	0.636465953854812	1	3	0.808581857700626
DMDHRGND	1	1	1	1.45357343837929	2	2	0.497980046288293
DMDHRAGE	18	40	54	52.5098480585256	65	80	16.1730520092674
DMDHRBR4	1	1	1	1.30457746478873	2	2	0.460363342788956
DMDHREDU	1	3	4	3.57453051643192	5	9	1.25926621262272
DMDHRMAR	1	1	1	2.6383701188455	4	77	4.71112983697655
DMDHSEDU	1	3	4	3.64912280701754	5	9	1.27877174975655
WTINT2YR	5747.620843	17621.617714	25210.872532	44349.7305891649	50296.216183	213887.191113	42790.6826891125
WTMEC2YR	5948.954975	18275.822647	26456.801285	45860.8279206505	52199.597886	224891.623229	43689.8732212877
SDMVPSU	1	1	1	1.49296567248171	2	2	0.500091247814614
SDMVSTRA	119	123	127	126.533483398987	130	133	4.16213206431643
INDHHIN2	1	6	8	11.2265353418308	14	99	14.4239017552207
INDFMIN2	1	5	8	10.9195601851852	14	99	14.657562337586
INDFMPIR	0	1.15	2.18	2.52076875387477	3.99	5	1.60071569111674
Gender	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
AgeGroup	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Gender_Age	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMDSTATS	1	1	1	1.08722566122679	1	3	0.390973621916907
BMXWT	39.8	66.5	78.7	82.2124929656725	93.9	198.9	21.8956007585238
BMIWT	3	3	3	3.20588235294118	3	4	0.410425630121905
BMXRECUM	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMIRECUM	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMXHEAD	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMIHEAD	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMXHT	137.6	159.2	166.3	166.464378165447	173.4	201	9.8233374661582
BMIHT	3	3	3	3	3	3	0
BMXBMI	16	24.5	28.6	29.583061339336	33.5	64.5	7.09161731330872
BMDBMIC	1	2	2	2.67567567567568	3	4	0.861793416877168
BMXLEG	28	35.9	38.5	38.4585928489043	41	51.1	3.70964393786394
BMILEG	1	1	1	1	1	1	0
BMXARML	30	35.2	37.1	37.1316961736151	39	47.4	2.74431265007307
BMIARML	1	1	1	1	1	1	0
BMXARMC	20.3	29.6	32.6	33.1732305936073	36.2	58.4	5.22116210278006
BMIARMC	1	1	1	1	1	1	0
BMXWAIST	65	88.8	99.2	100.44288184438	110.6	165	16.8967239099009
BMIWAIST	1	1	1	1	1	1	0
BMXSAD1	12.8	19.725	22.6	23.0274970622797	26	40.4	4.59179373945838
BMXSAD2	12.6	19.7	22.6	23.0207990599295	26	40	4.60842490210625
BMXSAD3	14.3	21.7	25.25	24.9617021276596	27.475	39.5	4.48301709040894
BMXSAD4	14.3	21.7	25	24.936170212766	27.375	39.8	4.45968442549662
BMDAVSAD	12.7	19.7	22.65	23.0384841363102	26	39.9	4.59492661008534
BMDSADCM	1	1	1	1.12068965517241	1	3	0.46178852176995
DBQ095Z	1	1	1	2.58975801913337	4	99	8.38528626067079
DBD100	1	1	1	1.70086139389193	2	9	0.870866435412543
DRQSPREP	1	3	3	3.20709060213844	4	9	1.08215216058371
DRQSDIET	1	2	2	1.83849184018008	2	2	0.368102602510559
DRQSDT1	1	1	1	1	1	1	0
DRQSDT2	2	2	2	2	2	2	0
DRQSDT3	3	3	3	3	3	3	0
DRQSDT4	4	4	4	4	4	4	0
DRQSDT5	Inf	NA	NA	NaN	NA	-Inf	NA
DRQSDT6	6	6	6	6	6	6	0
DRQSDT7	7	7	7	7	7	7	0
DRQSDT8	8	8	8	8	8	8	0
DRQSDT9	9	9	9	9	9	9	0
DRQSDT10	10	10	10	10	10	10	0
DRQSDT11	11	11	11	11	11	11	NA
DRQSDT12	12	12	12	12	12	12	0
DRQSDT91	91	91	91	91	91	91	0
DRD340	1	1	1	1.44707207207207	2	9	0.557168280531887
DRD350A	1	2	2	1.87550200803213	2	2	0.330314680169777
DRD350AQ	1	1	1	1.58064516129032	2	10	1.19004525563703
DRD350B	1	2	2	1.79819277108434	2	2	0.401550696421929
DRD350BQ	1	1	1	1.9452736318408	2	30	2.65744050728351
DRD350C	1	2	2	1.96184738955823	2	2	0.191660820602393
DRD350CQ	1	1	1	1.84210526315789	2	7	1.44308820111169
DRD350D	1	2	2	1.89759036144578	2	2	0.303338570427526
DRD350DQ	1	1	1	1.37254901960784	2	4	0.716448454993376
DRD350E	1	2	2	1.93072289156627	2	2	0.254052342009427
DRD350EQ	1	1	1	1.53623188405797	2	6	0.948368725526465
DRD350F	1	2	2	1.88955823293173	2	2	0.313597068271744
DRD350FQ	1	1	1	1.76363636363636	2	12	1.45215608587649
DRD350G	1	2	2	1.90461847389558	2	2	0.293888768176639
DRD350GQ	1	1	1	1.38947368421053	2	4	0.640723275517187
DRD350H	1	1	1	1.12951807228916	1	2	0.335941142061144
DRD350HQ	1	1	2	2.25490196078431	3	30	2.19348886013189
DRD350I	1	2	2	1.93473895582329	2	2	0.247109993470273
DRD350IQ	1	1	1	1.70769230769231	2	8	1.22120684318675
DRD350J	1	2	2	1.99397590361446	2	2	0.0774197942674145
DRD350JQ	1	1	1	1.16666666666667	1	2	0.408248290463863
DRD350K	2	2	2	2	2	2	0
DRD360	1	1	1	1.31418918918919	2	9	0.584630583941897
DRD370A	1	2	2	1.89165329052969	2	2	0.310942593678417
DRD370AQ	1	1	2	2.1037037037037	2	12	1.77155835806528
DRD370B	1	1	2	1.63322632423756	2	2	0.482117509860936
DRD370BQ	1	1	2	2.62800875273523	3	30	2.78418209349672
DRD370C	1	2	2	1.97512038523274	2	2	0.155820749509437
DRD370CQ	1	1	1	1.51612903225806	2	5	0.811211757883866
DRD370D	1	2	2	1.82343499197432	2	2	0.381453253921354
DRD370DQ	1	1	2	2.29545454545455	3	20	2.31709495191485
DRD370E	1	2	2	1.86998394863563	2	2	0.336456134831632
DRD370EQ	1	1	1	1.90740740740741	2	10	1.42648225429135
DRD370F	1	2	2	1.96227929373997	2	2	0.190596457161598
DRD370FQ	1	1	1	1.97872340425532	2	15	2.17184915904805
DRD370G	1	2	2	1.96308186195827	2	2	0.188636548712344
DRD370GQ	1	1	1	1.60869565217391	2	5	0.977030896123903
DRD370H	1	2	2	1.97672552166934	2	2	0.150834466378609
DRD370HQ	1	1	2	2.20689655172414	3	7	1.52079186010887
DRD370I	1	2	2	1.97512038523274	2	2	0.155820749509437
DRD370IQ	1	1	1	1.61290322580645	2	4	0.98918887157909
DRD370J	1	2	2	1.9983948635634	2	2	0.0400480607568329
DRD370JQ	1	1.25	1.5	1.5	1.75	2	0.707106781186548
DRD370K	1	2	2	1.97752808988764	2	2	0.148271937612674
DRD370KQ	1	1	1	1.89285714285714	2	5	1.31485207488751
DRD370L	1	2	2	1.98956661316212	2	2	0.101650499620901
DRD370LQ	1	1	2	2.07692307692308	2	6	1.44115338424578
DRD370M	1	1	2	1.63723916532905	2	2	0.480989694826305
DRD370MQ	1	1	2	2.4712389380531	3	20	2.27422953313634
DRD370N	1	2	2	1.9446227929374	2	2	0.228806880412809
DRD370NQ	1	1	2	2.92753623188406	4	16	2.81445241032629
DRD370O	1	2	2	1.98073836276083	2	2	0.137498362768668
DRD370OQ	1	1	1	1.54166666666667	2	4	0.931532942621143
DRD370P	1	2	2	1.99678972712681	2	2	0.0565909646137033
DRD370PQ	1	1	1.5	1.75	2.25	3	0.957427107756338
DRD370Q	1	2	2	1.99357945425361	2	2	0.0799027301936091
DRD370QQ	1	1	1	1.25	1	3	0.707106781186548
DRD370R	1	2	2	1.96869983948636	2	2	0.174197629860369
DRD370RQ	1	1	1	1.35897435897436	2	3	0.627743640567234
DRD370S	1	2	2	1.98234349919743	2	2	0.131752344598126
DRD370SQ	1	1	1	1.27272727272727	1.75	2	0.455842305838552
DRD370T	1	1	2	1.69582664526485	2	2	0.460241161295362
DRD370TQ	1	1	2	2.71240105540897	3	30	3.14367245348711
DRD370U	1	2	2	1.91492776886035	2	2	0.279101172799381
DRD370UQ	1	1	2	2.26415094339623	3	12	1.73096112466293
DRD370V	2	2	2	2	2	2	0
PF_TOTAL_LEG	0	4.0879825	5.931757	6.64142977236916	8.5717	31.9692275	3.65795477582307
PF_LEG_perTOTAL	0	0	0	8.13313437325989	10.5224630727101	100	15.5096453816891
DivGroup	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
DivGroup_f	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
LBDHDD	6	43	53	55.8778840742825	65	226	17.3399128978239
LBXTR	15	61	89	106.038266741699	136	397	63.4223979510314
LBDLDL	24	86	109	111.589758019133	134	277	35.8061907488588
LBXTC	84	160	185	188.674732695554	213	359	41.4276341508779
