Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
V_DRKGR	0	0	0	0.1537571546622	0.15938625	3.359083	0.331216712959544
V_REDOR_TOMATO	0	0.059	0.1908	0.272513021775544	0.385877	2.4592	0.294410333487622
V_REDOR_OTHER	0	0	0.010238	0.10117779787828	0.1242	2.161646	0.194531960877585
V_REDOR_TOTAL	0	0.12023475	0.2865125	0.373690819653825	0.522699	2.4592	0.345862634209874
V_STARCHY_POTATO	0	0	0.19145	0.361577877442769	0.5038105	4.907125	0.495504957550239
V_STARCHY_OTHER	0	0	0	0.0968696504745952	0.096436	3.1624	0.243527741071487
V_STARCHY_TOTAL	0	0.01975	0.29375	0.458447527917365	0.63325625	5.5949	0.558527449208192
V_OTHER	0	0.15530925	0.3622495	0.513747695421552	0.71717	4.6257	0.519589733765427
V_TOTAL	0	0.7699095	1.273263	1.49964319765494	2.02584325	7.157564	0.988579217525821
V_LEGUMES	0	0	0	0.140762189279732	0.17858775	2.553723	0.291589728755255
G_WHOLE	0	0	0.446	0.881862632328308	1.3068	10.8627	1.19318711990703
G_REFINED	0	3.150575	5.022615	5.53284156700168	7.243402	25.004192	3.22105992701485
G_TOTAL	0	4.02575625	5.8482875	6.41470419821329	8.22905	25.004192	3.30679062408275
PF_MEAT	0	0	0.99	1.4928278294249	2.3041	12.160368	1.74095535924791
PF_CUREDMEAT	0	0	0.415	0.876184169458403	1.29355	11.1315	1.2470581560488
PF_ORGAN	0	0	0	0.0271541242322725	0	4.76	0.269819907333666
PF_POULT	0	0	1.06	1.59898406058068	2.41464375	16.124359	1.89779168985609
PF_SEAFD_HI	0	0	0	0.185241423785595	0	8.823	0.808799216601184
PF_SEAFD_LOW	0	0	0	0.579648242601898	0.3498	21.3974	1.54066027337618
PF_MPS_TOTAL	0	2.66622325	4.1996385	4.76003985008375	6.2174	30.6141575	3.04846354708651
PF_EGGS	0	0.0365	0.30265	0.585730038805137	0.963637	4.8227	0.704804510350812
PF_SOY	0	0	0	0.0610871504745952	0	4.0572	0.268929377796364
PF_NUTSDS	0	0	0.0126	0.657163387493021	0.66944375	14.5298775	1.37260565162775
PF_LEGUMES	0	0	0	0.565560668900056	0.70805	10.36511	1.17191742851722
PF_TOTAL	0	3.65386125	5.40065	6.0640204268565	7.7570315	30.7785275	3.49434254364969
D_MILK	0	0.0903765	0.36085	0.60909303294249	0.8795855	7.62805	0.752291619358157
D_YOGURT	0	0	0	0.0626447624232273	0	1.757916	0.180386701766659
D_CHEESE	0	0.092325	0.44125	0.644719917922948	0.93486375	4.8340425	0.719688990739568
D_TOTAL	0	0.5609	1.110862	1.34348838246789	1.86753725	8.462675	1.06794435508365
OILS	0	15.050725	23.652345	26.972350228364	35.92715225	115.948815	16.3583760938218
SOLID_FATS	0	18.30754475	29.360737	32.3300384089894	42.76905175	129.643075	18.9394963057285
ADD_SUGARS	0.018	6.7119285	12.0266	14.908255480737	20.3687705	79.4527	11.4008599698529
A_DRINKS	0	0	0	0.454989506700168	0	16.632	1.27862878118094
NoOfItems	4.5	11.5	15	15.428810720268	18.5	42.5	5.16672709943336
SDDSRVYR	9	9	9	9	9	9	0
RIDSTATR	2	2	2	2	2	2	0
RIAGENDR	1	1	2	1.53378001116695	2	2	0.498996932024693
RIDAGEYR	18	35	51	49.8844221105528	65	80	18.172191219831
RIDAGEMN	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RIDRETH1	1	2	3	3.035734226689	4	5	1.22718577302047
RIDRETH3	1	2	3	3.20491345616974	4	7	1.54373789305378
RIDEXMON	1	1	2	1.51032942490229	2	2	0.500032907095507
RIDEXAGM	217	220	226	226.453333333333	232	239	6.86017361165022
DMQMILIZ	1	2	2	1.9000558347292	2	2	0.300009305643875
DMQADFC	1	1	2	1.52513966480447	2	2	0.500768350695523
DMDBORN4	1	1	1	1.29089893914015	2	2	0.454303846289093
DMDCITZN	1	1	1	1.16471245114461	1	9	0.447469500169914
DMDYRSUS	1	3	5	7.62763915547025	7	99	14.1283785609619
DMDEDUC3	9	11	13	13.9493670886076	13	66	8.58427114743873
DMDEDUC2	1	3	4	3.5625	5	5	1.26530663346096
DMDMARTL	1	1	1	2.49883177570093	5	6	1.85695301408606
RIDEXPRG	1	2	2	1.96875	2	3	0.254062434841755
SIALANG	1	1	1	1.1250697934115	1	2	0.330890424128275
SIAPROXY	1	2	2	1.99553322166388	2	2	0.0667031520086063
SIAINTRP	1	2	2	1.97710776102736	2	2	0.149601739828936
FIALANG	1	1	1	1.11653272101033	1	2	0.320954794731732
FIAPROXY	1	2	2	1.99885189437428	2	2	0.0338739748759057
FIAINTRP	1	2	2	1.98105625717566	2	2	0.136365509793449
MIALANG	1	1	1	1.09686774941995	1	2	0.295863419500895
MIAPROXY	1	2	2	1.99303944315545	2	2	0.083163207988927
MIAINTRP	1	2	2	1.96751740139211	2	2	0.177329409213478
AIALANGA	1	1	1	1.16549295774648	1	3	0.42150536870708
DMDHHSIZ	1	2	3	3.1820212171971	4	7	1.68871725527534
DMDFMSIZ	1	2	3	3.02010050251256	4	7	1.7457492479795
DMDHHSZA	0	0	0	0.240647682858738	0	3	0.564934785719676
DMDHHSZB	0	0	0	0.587381351200447	1	4	0.987654186686233
DMDHHSZE	0	0	0	0.638190954773869	1	3	0.807626960008557
DMDHRGND	1	1	1	1.45505304299274	2	2	0.498114753084804
DMDHRAGE	18	40	54	52.5270798436628	65	80	16.1784123463623
DMDHRBR4	1	1	1	1.30267753201397	2	2	0.459550616984255
DMDHREDU	1	3	4	3.57974388824214	5	9	1.25691450133406
DMDHRMAR	1	1	1	2.63595505617978	4	77	4.69545238690684
DMDHSEDU	1	3	4	3.64667393675027	5	9	1.27775832103446
WTINT2YR	5747.620843	17602.3686985	25166.354326	44250.4626739123	49150.1876235	213887.191113	42726.1992835165
WTMEC2YR	5948.954975	18272.2389655	26376.071547	45754.9364399509	52126.766231	224891.623229	43621.948375444
SDMVPSU	1	1	1	1.49357900614182	2	2	0.500098402926155
SDMVSTRA	119	123	127	126.531546621999	130	133	4.15845155538304
INDHHIN2	1	6	8	11.1873563218391	14	99	14.3743774391094
INDFMIN2	1	5	8	10.8823191733639	14	99	14.6065157309376
INDFMPIR	0	1.15	2.18	2.51713583282114	3.985	5	1.59898823579696
Gender	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
AgeGroup	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Gender_Age	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMDSTATS	1	1	1	1.10608598548297	1	4	0.445864713027435
BMXWT	39.8	66.5	78.7	82.230466554244	93.9	198.9	21.9000160345407
BMIWT	1	3	3	3.02702702702703	3	4	0.725966271273692
BMXRECUM	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMIRECUM	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMXHEAD	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMIHEAD	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
BMXHT	137.6	159.2	166.3	166.474340258282	173.5	201	9.84072932090429
BMIHT	1	3	3	2.81818181818182	3	3	0.5884898863365
BMXBMI	16	24.5	28.6	29.583061339336	33.5	64.5	7.09161731330872
BMDBMIC	1	2	2	2.67567567567568	3	4	0.861793416877168
BMXLEG	28	35.9	38.5	38.4667242371906	41	51.5	3.72028601460666
BMILEG	1	1	1	1	1	1	0
BMXARML	30	35.2	37.1	37.1373932840068	39	47.4	2.75418642424156
BMIARML	1	1	1	1	1	1	0
BMXARMC	20.3	29.6	32.6	33.1807167235495	36.2	58.4	5.22754494216232
BMIARMC	1	1	1	1	1	1	0
BMXWAIST	65	88.8	99.2	100.4511213341	110.6	165	16.8824809154464
BMIWAIST	1	1	1	1	1	1	0
BMXSAD1	12.8	19.775	22.6	23.0276995305164	26	40.4	4.58983741603906
BMXSAD2	12.6	19.7	22.6	23.0211267605634	26	40	4.60652473488105
BMXSAD3	14.3	21.7	25.25	24.9617021276596	27.475	39.5	4.48301709040894
BMXSAD4	14.3	21.7	25	24.936170212766	27.375	39.8	4.45968442549662
BMDAVSAD	12.7	19.7	22.65	23.0387323943662	26	39.9	4.59300085752864
BMDSADCM	1	1	1	1.11111111111111	1	3	0.443996189721776
DBQ095Z	1	1	1	2.58403126744835	4	99	8.35353948647485
DBD100	1	1	1	1.7031857031857	2	9	0.871448329948804
DRQSPREP	1	3	3	3.20603015075377	4	9	1.08028934525963
DRQSDIET	1	2	2	1.83863763260748	2	2	0.367967599241259
DRQSDT1	1	1	1	1	1	1	0
DRQSDT2	2	2	2	2	2	2	0
DRQSDT3	3	3	3	3	3	3	0
DRQSDT4	4	4	4	4	4	4	0
DRQSDT5	Inf	NA	NA	NaN	NA	-Inf	NA
DRQSDT6	6	6	6	6	6	6	0
DRQSDT7	7	7	7	7	7	7	0
DRQSDT8	8	8	8	8	8	8	0
DRQSDT9	9	9	9	9	9	9	0
DRQSDT10	10	10	10	10	10	10	0
DRQSDT11	11	11	11	11	11	11	NA
DRQSDT12	12	12	12	12	12	12	0
DRQSDT91	91	91	91	91	91	91	0
DRD340	1	1	1	1.44916201117318	2	9	0.556918848897711
DRD350A	1	2	2	1.876	2	2	0.32974646735444
DRD350AQ	1	1	1	1.58064516129032	2	10	1.19004525563703
DRD350B	1	2	2	1.798	2	2	0.401693113405442
DRD350BQ	1	1	1	1.94059405940594	2	30	2.65165594437282
DRD350C	1	2	2	1.962	2	2	0.191291904148065
DRD350CQ	1	1	1	1.84210526315789	2	7	1.44308820111169
DRD350D	1	2	2	1.897	2	2	0.304110972316823
DRD350DQ	1	1	1	1.36893203883495	2	4	0.71387222537337
DRD350E	1	2	2	1.93	2	2	0.255274685711618
DRD350EQ	1	1	1	1.52857142857143	2	6	0.943650459903555
DRD350F	1	2	2	1.89	2	2	0.313046319253234
DRD350FQ	1	1	1	1.76363636363636	2	12	1.45215608587649
DRD350G	1	2	2	1.905	2	2	0.293361655744341
DRD350GQ	1	1	1	1.38947368421053	2	4	0.640723275517187
DRD350H	1	1	1	1.131	1	2	0.337569182469243
DRD350HQ	1	1	2	2.25431530494822	3	30	2.19099442881633
DRD350I	1	2	2	1.935	2	2	0.246649216167082
DRD350IQ	1	1	1	1.70769230769231	2	8	1.22120684318675
DRD350J	1	2	2	1.994	2	2	0.0772655807586403
DRD350JQ	1	1	1	1.16666666666667	1	2	0.408248290463863
DRD350K	2	2	2	2	2	2	0
DRD360	1	1	1	1.31396648044693	2	9	0.583713578424496
DRD370A	1	2	2	1.89251592356688	2	2	0.309851075501225
DRD370AQ	1	1	2	2.1037037037037	2	12	1.77155835806528
DRD370B	1	1	2	1.63375796178344	2	2	0.481968624411008
DRD370BQ	1	1	2	2.62391304347826	3	30	2.77631476107318
DRD370C	1	2	2	1.97531847133758	2	2	0.155214470850261
DRD370CQ	1	1	1	1.51612903225806	2	5	0.811211757883866
DRD370D	1	2	2	1.82245222929936	2	2	0.382283813482605
DRD370DQ	1	1	2	2.28251121076233	3	20	2.30471685713027
DRD370E	1	2	2	1.86942675159236	2	2	0.337067252160457
DRD370EQ	1	1	1	1.91463414634146	2	10	1.42028442249785
DRD370F	1	2	2	1.96178343949045	2	2	0.191795053913313
DRD370FQ	1	1	1.5	2.02083333333333	2	15	2.16833678130569
DRD370G	1	2	2	1.96257961783439	2	2	0.189865211233722
DRD370GQ	1	1	1	1.59574468085106	2	5	0.970422912470217
DRD370H	1	2	2	1.97691082802548	2	2	0.150246580892583
DRD370HQ	1	1	2	2.20689655172414	3	7	1.52079186010887
DRD370I	1	2	2	1.97531847133758	2	2	0.155214470850261
DRD370IQ	1	1	1	1.61290322580645	2	4	0.98918887157909
DRD370J	1	2	2	1.9984076433121	2	2	0.0398884429100486
DRD370JQ	1	1.25	1.5	1.5	1.75	2	0.707106781186548
DRD370K	1	2	2	1.97770700636943	2	2	0.147693545590317
DRD370KQ	1	1	1	1.89285714285714	2	5	1.31485207488751
DRD370L	1	2	2	1.98885350318471	2	2	0.105028734617188
DRD370LQ	1	1	2	2	2	6	1.4142135623731
DRD370M	1	1	2	1.63694267515924	2	2	0.481072722196885
DRD370MQ	1	1	2	2.46710526315789	3	20	2.26560841545754
DRD370N	1	2	2	1.94506369426752	2	2	0.227946654317865
DRD370NQ	1	1	2	2.92753623188406	4	16	2.81445241032629
DRD370O	1	2	2	1.98089171974522	2	2	0.136960171818126
DRD370OQ	1	1	1	1.54166666666667	2	4	0.931532942621143
DRD370P	1	2	2	1.9968152866242	2	2	0.0563657743239362
DRD370PQ	1	1	1.5	1.75	2.25	3	0.957427107756338
DRD370Q	1	2	2	1.99363057324841	2	2	0.0795858031844609
DRD370QQ	1	1	1	1.25	1	3	0.707106781186548
DRD370R	1	2	2	1.96894904458599	2	2	0.173524543285935
DRD370RQ	1	1	1	1.35897435897436	2	3	0.627743640567234
DRD370S	1	2	2	1.98248407643312	2	2	0.131235774206186
DRD370SQ	1	1	1	1.27272727272727	1.75	2	0.455842305838552
DRD370T	1	1	2	1.69745222929936	2	2	0.459544072628789
DRD370TQ	1	1	2	2.70789473684211	3	30	3.14075109741426
DRD370U	1	2	2	1.9156050955414	2	2	0.278089870720101
DRD370UQ	1	1	2	2.26415094339623	3	12	1.73096112466293
DRD370V	2	2	2	2	2	2	0
PF_TOTAL_LEG	0	4.08719675	5.9073725	6.62958109575656	8.5422175	31.9692275	3.65078664698913
PF_LEG_perTOTAL	0	0	0	8.10816077550421	10.4853534813569	100	15.4794255454127
quartile	1	2	3	2.50418760469012	3	4	1.10805042767
PF_LEGUMES_g	0	0	0	16.0333621829821	20.072863475	293.845685945	33.2232731397491
LegGroup	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
LBDHDD	6	43.5	53	55.822445561139	65	226	17.305818727732
LBXTR	15	61	90	106.198213288666	136	397	63.5265423535553
LBDLDL	24	86	109	111.573981016192	134	277	35.8314641820227
LBXTC	84	160	185	188.635399218314	213	359	41.4826942155357
